emp_no,last_name,first_name,birth_date,from_date,to_date,title
17970,Carrere,Filipp,1965-01-06,1989-01-09,9999-01-01,Technique Leader
17988,Calkin,Mabhin,1965-01-31,1989-11-30,9999-01-01,Engineer
18021,Matzke,Adil,1965-01-07,1987-05-08,9999-01-01,Engineer
18424,Rousseau,Filipp,1965-01-19,1995-06-07,9999-01-01,Engineer
18583,Honglei,Stafford,1965-01-03,1998-08-16,9999-01-01,Staff
18617,Crouzet,Surveyors,1965-01-21,1989-04-24,9999-01-01,Senior Staff
18810,Jarecki,Taiji,1965-01-09,1991-06-27,9999-01-01,Engineer
19236,Morris,Elzbieta,1965-01-24,1988-07-12,9999-01-01,Engineer
19350,Yoshizawa,Satoru,1965-01-19,1994-03-27,9999-01-01,Senior Staff
19803,Kowalchuk,Ziva,1965-01-30,1987-06-13,9999-01-01,Engineer
20100,Heuter,Utz,1965-01-18,1986-06-15,9999-01-01,Senior Staff
20128,Peak,Kazunori,1965-01-23,1999-08-13,9999-01-01,Senior Staff
20129,Skafidas,Rafael,1965-01-10,1991-03-28,9999-01-01,Engineer
20248,Demri,Vidar,1965-01-12,1999-12-31,9999-01-01,Staff
20313,Benveniste,Candida,1965-01-24,1999-01-20,9999-01-01,Engineer
20500,Trystram,Christoph,1965-01-30,1993-10-15,9999-01-01,Senior Staff
20885,Rothenberg,Otmar,1965-01-21,1989-03-14,9999-01-01,Engineer
21181,Cangellaris,Jianhui,1965-01-21,1991-10-06,9999-01-01,Assistant Engineer
21188,Danecki,Piyush,1965-01-21,2000-01-08,9999-01-01,Engineer
21546,Lanteri,Yongmin,1965-01-01,2002-03-19,9999-01-01,Senior Staff
21843,Azadmanesh,Karsten,1965-01-09,1985-11-29,9999-01-01,Senior Engineer
21909,Brizzi,Mohammed,1965-01-04,1991-12-28,9999-01-01,Senior Staff
22185,Birch,Huai,1965-01-29,2002-06-12,9999-01-01,Assistant Engineer
22415,Jumpertz,Perla,1965-01-20,1994-08-24,9999-01-01,Senior Staff
22451,Bresenham,Jasminko,1965-01-27,1994-01-19,9999-01-01,Senior Staff
22455,Unno,Barry,1965-01-06,1990-11-16,9999-01-01,Senior Staff
22926,Genther,Manibrata,1965-01-01,1988-01-15,9999-01-01,Engineer
23396,Fairtlough,Hilari,1965-01-02,1986-12-15,9999-01-01,Technique Leader
24080,Perez,Jaana,1965-01-26,1996-03-11,9999-01-01,Technique Leader
24205,Rubsam,Roddy,1965-01-25,1993-09-19,9999-01-01,Senior Engineer
24377,Wroclawski,Lubomir,1965-01-25,1993-07-25,9999-01-01,Engineer
24394,Conta,Zhonghui,1965-01-04,1994-09-10,9999-01-01,Staff
24553,Passafiume,Anwar,1965-01-12,1987-01-30,9999-01-01,Senior Staff
24571,Gischer,Cordelia,1965-01-20,1989-03-14,9999-01-01,Engineer
25488,Basawa,Ingmar,1965-01-19,1991-11-09,9999-01-01,Senior Staff
26629,Rodham,Nevin,1965-01-28,1998-12-14,9999-01-01,Senior Staff
26671,Kalorkoti,Jiakeng,1965-01-21,1994-12-25,9999-01-01,Engineer
26788,Dalphin,Zongyan,1965-01-25,1988-04-23,9999-01-01,Engineer
27331,Krohm,Wanqing,1965-01-19,1991-01-22,9999-01-01,Senior Staff
27378,Leppanen,Piyawadee,1965-01-28,1999-02-25,9999-01-01,Senior Staff
27620,Kandlur,Shuji,1965-01-25,1990-03-02,9999-01-01,Engineer
27686,Rosiles,Manu,1965-01-28,1998-03-03,9999-01-01,Senior Staff
27699,Pezzoli,Falguni,1965-01-15,1996-12-23,9999-01-01,Engineer
27767,Veldwijk,Tooru,1965-01-27,1993-11-21,9999-01-01,Senior Staff
28193,Mitsuhashi,Xinglin,1965-01-29,1988-12-14,9999-01-01,Engineer
28974,Sundgren,Chenxi,1965-01-09,1986-09-02,9999-01-01,Senior Engineer
28988,Giveon,Tua,1965-01-18,1998-09-09,9999-01-01,Technique Leader
29130,Thorensen,Xumin,1965-01-06,1998-04-26,9999-01-01,Staff
29265,Calkin,Gilbert,1965-01-14,1988-03-21,9999-01-01,Senior Staff
29380,Vidal,Satoru,1965-01-30,1998-05-02,9999-01-01,Assistant Engineer
29418,Mersereau,Valery,1965-01-22,1998-07-01,9999-01-01,Assistant Engineer
29679,Steenbeek,Kolar,1965-01-17,1986-10-18,9999-01-01,Senior Engineer
29782,Hellwagner,Jouko,1965-01-29,2000-10-23,9999-01-01,Senior Engineer
29954,Giarratana,Pranay,1965-01-27,1992-09-29,9999-01-01,Senior Engineer
30007,Vecchio,Kousuke,1965-01-24,1990-02-23,9999-01-01,Engineer
30035,Conta,Tetsushi,1965-01-08,1995-07-04,9999-01-01,Senior Staff
30154,Skafidas,Mayuko,1965-01-26,1999-04-19,9999-01-01,Technique Leader
30182,Potthoff,Leon,1965-01-26,1985-12-08,9999-01-01,Engineer
30465,Avouris,Randi,1965-01-28,1986-07-16,9999-01-01,Engineer
30484,Chvatal,Sailaja,1965-01-11,1999-05-18,9999-01-01,Staff
30695,Majewski,Gudjon,1965-01-08,1999-10-26,9999-01-01,Senior Engineer
30938,Samarati,Yakkov,1965-01-06,1997-10-10,9999-01-01,Senior Staff
31147,Sidhu,Divine,1965-01-04,1989-07-05,9999-01-01,Senior Staff
31188,Gist,Leandro,1965-01-12,1993-02-03,9999-01-01,Technique Leader
31207,Dulin,Abdelwaheb,1965-01-30,1993-08-05,9999-01-01,Senior Engineer
31341,Zultner,Oksana,1965-01-01,1991-03-23,9999-01-01,Senior Staff
31514,Schapire,Harngdar,1965-01-13,1996-11-09,9999-01-01,Engineer
31568,Lalonde,Mark,1965-01-10,1996-11-24,9999-01-01,Staff
31909,Peek,Murthy,1965-01-10,2000-10-30,9999-01-01,Engineer
32347,Peres,Terresa,1965-01-08,1990-09-15,9999-01-01,Senior Staff
32552,Stanger,Atreye,1965-01-17,1993-09-10,9999-01-01,Assistant Engineer
32649,Nannarelli,Ingmar,1965-01-12,1988-06-10,9999-01-01,Senior Staff
32714,Maliniak,Radoslaw,1965-01-16,2001-09-18,9999-01-01,Staff
32844,Melton,Tadahiko,1965-01-23,1995-01-07,9999-01-01,Engineer
33025,Thorelli,Jessie,1965-01-12,1999-12-16,9999-01-01,Senior Staff
33215,Fasbender,Steen,1965-01-29,1993-02-14,9999-01-01,Technique Leader
33722,Collette,Anwar,1965-01-15,2001-02-03,9999-01-01,Senior Engineer
34077,Sichman,Angel,1965-01-08,1988-11-16,9999-01-01,Senior Staff
34261,Callaway,Kyoichi,1965-01-05,1990-12-30,9999-01-01,Senior Staff
34446,Bauknecht,Chinhyun,1965-01-31,1986-12-19,9999-01-01,Senior Engineer
34452,Foong,Naftaly,1965-01-08,1991-05-10,9999-01-01,Engineer
34505,Kumaresan,Felicidad,1965-01-28,1994-09-06,9999-01-01,Senior Staff
34533,Shigei,Erzsebet,1965-01-10,1995-01-16,9999-01-01,Senior Engineer
34780,Kohling,Moni,1965-01-16,2001-09-18,9999-01-01,Staff
34788,Babu,Ennio,1965-01-27,1994-08-31,9999-01-01,Senior Engineer
34936,Stamatiou,Bokyung,1965-01-12,1991-02-12,9999-01-01,Technique Leader
35044,Waschkowski,Jiang,1965-01-04,1989-05-27,9999-01-01,Engineer
35087,Ashish,Leif,1965-01-17,1994-10-14,9999-01-01,Senior Staff
35441,Peek,Chandrasekaran,1965-01-31,1990-09-17,9999-01-01,Engineer
35642,Talmon,Ashish,1965-01-30,1999-02-28,9999-01-01,Engineer
35793,Kusalik,Oscar,1965-01-01,1991-05-11,9999-01-01,Senior Staff
35798,Oberman,Ulf,1965-01-29,1997-03-15,9999-01-01,Senior Engineer
36521,Gladwell,Serif,1965-01-21,1987-03-06,9999-01-01,Senior Staff
36626,Genin,Fen,1965-01-02,1986-05-09,9999-01-01,Senior Staff
36733,Reinhard,Uma,1965-01-04,1997-11-01,9999-01-01,Staff
36844,Levergood,Hailing,1965-01-01,2000-01-12,9999-01-01,Staff
36982,Rajala,Kotesh,1965-01-22,1992-06-23,9999-01-01,Engineer
37070,Undy,Jeong,1965-01-22,1985-02-13,9999-01-01,Senior Staff
37945,Butterworth,Suzette,1965-01-02,1994-02-19,9999-01-01,Senior Engineer
38043,Randi,Michaela,1965-01-05,1985-11-23,9999-01-01,Engineer
38103,Babu,Masasuke,1965-01-12,1988-03-31,9999-01-01,Engineer
38168,Deverell,Fumiko,1965-01-14,1987-08-15,9999-01-01,Senior Staff
38550,Baez,JoAnne,1965-01-14,1987-02-16,9999-01-01,Senior Engineer
38593,Orsini,Huei,1965-01-14,1986-06-04,9999-01-01,Engineer
38947,Ruemmler,Shuichi,1965-01-25,1998-04-08,9999-01-01,Senior Staff
39000,Vendrig,Martijn,1965-01-08,1997-03-03,9999-01-01,Senior Staff
39036,Cappelli,Changho,1965-01-08,1996-05-04,9999-01-01,Staff
39301,Kawashima,Rimon,1965-01-07,1992-02-06,9999-01-01,Senior Staff
39341,Lampe,Mahmut,1965-01-01,1985-05-11,9999-01-01,Engineer
39952,Sudbeck,Otmar,1965-01-02,1998-07-22,9999-01-01,Staff
40269,Ghazalie,Toshiki,1965-01-10,1991-12-05,9999-01-01,Senior Staff
40283,Boissier,Sudhanshu,1965-01-07,1985-05-11,9999-01-01,Engineer
40301,Felder,Spyrose,1965-01-20,1997-10-20,9999-01-01,Senior Engineer
40536,Bernardinello,Harngdar,1965-01-20,1988-02-29,9999-01-01,Engineer
40765,Ramsak,Michaela,1965-01-01,1992-12-21,9999-01-01,Senior Staff
40773,Aingworth,Shimshon,1965-01-09,1986-04-13,9999-01-01,Senior Staff
40983,Cherinka,Marla,1965-01-17,1986-12-01,9999-01-01,Technique Leader
41114,Thummel,Petter,1965-01-25,1995-12-24,9999-01-01,Technique Leader
41137,Buchter,Bikash,1965-01-20,1996-01-08,9999-01-01,Senior Staff
41357,Vernadat,Willard,1965-01-06,1997-03-04,9999-01-01,Engineer
41518,Schapiro,Keung,1965-01-11,2001-02-08,9999-01-01,Senior Engineer
41520,Uhrik,Xiong,1965-01-20,1988-03-21,9999-01-01,Senior Engineer
41609,Simmen,Yucai,1965-01-04,1987-10-13,9999-01-01,Senior Staff
42778,Remmers,Shuji,1965-01-19,1987-12-18,9999-01-01,Senior Staff
42911,Eterovic,Brigham,1965-01-29,1994-10-08,9999-01-01,Engineer
42950,Eickenmeyer,Shaleah,1965-01-22,1993-10-09,9999-01-01,Senior Staff
42955,Lortz,Yucel,1965-01-12,1995-02-21,9999-01-01,Engineer
43154,Waterhouse,Maha,1965-01-13,1997-07-04,9999-01-01,Senior Staff
43733,Boguraev,Huei,1965-01-26,1993-12-31,9999-01-01,Senior Staff
43848,Oxenboll,Phillip,1965-01-11,1999-05-26,9999-01-01,Engineer
44054,Ritcey,Alenka,1965-01-18,1997-02-09,9999-01-01,Engineer
44265,Eppinger,Maria,1965-01-24,1997-01-30,9999-01-01,Engineer
44540,Sadowski,Mingzeng,1965-01-16,1989-11-12,9999-01-01,Senior Engineer
44900,Schwaller,Mark,1965-01-05,1994-08-10,9999-01-01,Senior Staff
44959,Uhrik,Volkmar,1965-01-21,1988-01-16,9999-01-01,Engineer
44962,Wynblatt,Sariel,1965-01-16,1996-05-18,9999-01-01,Assistant Engineer
45162,Speel,Dulce,1965-01-11,1987-10-19,9999-01-01,Engineer
46000,Penn,Zhaofang,1965-01-26,1997-07-24,9999-01-01,Senior Staff
46328,Trogemann,Wuxu,1965-01-05,1997-01-27,9999-01-01,Senior Staff
46811,Berendt,Junsik,1965-01-10,1988-04-27,9999-01-01,Senior Engineer
46834,Daescu,Tooru,1965-01-22,1998-03-20,9999-01-01,Senior Staff
46943,Maraist,Pasqua,1965-01-31,1993-12-06,9999-01-01,Engineer
47016,Litecky,Toong,1965-01-03,1989-03-01,9999-01-01,Senior Staff
47139,Usdin,Marco,1965-01-25,1996-10-29,9999-01-01,Engineer
47262,Binkley,Gonzalo,1965-01-10,1985-08-16,9999-01-01,Engineer
47515,Jenevein,Naraig,1965-01-26,1987-01-18,9999-01-01,Senior Engineer
47702,Vieri,Juyoung,1965-01-21,1991-08-12,9999-01-01,Senior Staff
47708,Haldar,Edwin,1965-01-05,1995-07-12,9999-01-01,Senior Staff
48275,Massonet,Sariel,1965-01-29,1987-11-20,9999-01-01,Senior Staff
48690,Schaap,Hitomi,1965-01-12,1999-09-27,9999-01-01,Staff
48882,Lamparter,Leen,1965-01-28,1993-06-07,9999-01-01,Engineer
48904,Malabarba,Yuichiro,1965-01-23,1994-03-07,9999-01-01,Senior Staff
48947,Akaboshi,Filipp,1965-01-05,1992-05-20,9999-01-01,Senior Staff
49010,Benantar,Kazuhisa,1965-01-16,1990-03-30,9999-01-01,Senior Staff
49017,Flanders,Filipp,1965-01-07,1990-11-26,9999-01-01,Engineer
49119,Peek,Lena,1965-01-09,1991-05-16,9999-01-01,Engineer
49177,Bach,Tze,1965-01-03,1999-03-09,9999-01-01,Engineer
49464,Cappelletti,Siddarth,1965-01-14,1999-09-10,9999-01-01,Staff
49477,Leaver,Baocai,1965-01-14,1998-08-05,9999-01-01,Senior Staff
50293,Rindone,Xinan,1965-01-26,1996-10-08,9999-01-01,Engineer
50311,Stafford,Mooi,1965-01-24,1996-10-06,9999-01-01,Senior Engineer
50453,Harbusch,Aron,1965-01-12,1997-10-02,9999-01-01,Staff
50670,Snedden,Boguslaw,1965-01-30,1985-02-20,9999-01-01,Senior Staff
50831,Khalid,Marie,1965-01-06,1996-06-11,9999-01-01,Senior Engineer
51036,Fasbender,Chriss,1965-01-29,1995-05-23,9999-01-01,Staff
51057,Albarhamtoshy,Theirry,1965-01-29,1991-09-27,9999-01-01,Senior Staff
51060,Rohrbach,Youngkon,1965-01-15,1989-10-20,9999-01-01,Engineer
51142,Lakshmanan,Rosine,1965-01-29,1986-01-31,9999-01-01,Engineer
52038,Armand,Chikako,1965-01-13,1985-05-18,9999-01-01,Senior Engineer
52040,Heijenga,Phule,1965-01-14,1996-12-08,9999-01-01,Senior Staff
52283,Krupka,Trygve,1965-01-20,1994-03-11,9999-01-01,Senior Staff
52386,Denti,Adas,1965-01-28,1986-05-30,9999-01-01,Senior Staff
52590,Munoz,Jouni,1965-01-21,1996-10-07,9999-01-01,Staff
52599,Mungall,Augustine,1965-01-25,1994-01-13,9999-01-01,Engineer
52639,Colorni,Arup,1965-01-09,1996-02-05,9999-01-01,Senior Staff
52770,Yurek,Shugo,1965-01-31,1992-08-28,9999-01-01,Senior Staff
52778,Penn,Alain,1965-01-15,1986-05-03,9999-01-01,Technique Leader
52956,Picci,Khalil,1965-01-31,1998-11-24,9999-01-01,Engineer
52970,Werthner,Lobel,1965-01-22,1988-03-17,9999-01-01,Engineer
53278,Lortz,Premsyl,1965-01-31,1993-02-01,9999-01-01,Senior Staff
53314,Carrera,Eberhardt,1965-01-06,1999-02-23,9999-01-01,Staff
53431,Vasanthakumar,Sham,1965-01-12,1993-05-24,9999-01-01,Senior Staff
53499,Mandelberg,Zdislav,1965-01-20,1994-09-11,9999-01-01,Engineer
53597,Marchegay,Jiafu,1965-01-30,1985-03-02,9999-01-01,Engineer
53874,Schade,Bodo,1965-01-23,1986-02-14,9999-01-01,Senior Staff
53924,Gaughan,Arnould,1965-01-27,1991-01-23,9999-01-01,Engineer
54198,Segond,Shaowen,1965-01-01,1986-01-06,9999-01-01,Engineer
54632,Serot,Etsuo,1965-01-19,1989-06-14,9999-01-01,Senior Staff
54795,Nergos,Sumant,1965-01-29,1994-03-02,9999-01-01,Staff
54800,Cangellaris,Breannda,1965-01-13,2000-01-27,9999-01-01,Staff
55640,Syrotiuk,Adit,1965-01-25,1993-07-16,9999-01-01,Engineer
55687,Lindqvist,Shih,1965-01-02,1995-03-29,9999-01-01,Senior Engineer
55799,Litzler,Jianwen,1965-01-23,1987-06-17,9999-01-01,Engineer
55857,Scallan,Adin,1965-01-18,1987-09-15,9999-01-01,Senior Staff
56105,Remmers,Makato,1965-01-11,1989-04-16,9999-01-01,Engineer
56209,Douceur,Remzi,1965-01-19,1992-12-01,9999-01-01,Engineer
56415,Nivat,Sigeru,1965-01-30,1991-10-24,9999-01-01,Senior Staff
56428,Hanabata,Olivera,1965-01-27,1986-11-10,9999-01-01,Senior Staff
56682,Picco,Roded,1965-01-28,1993-11-06,9999-01-01,Assistant Engineer
56829,Gruenwald,Nagui,1965-01-09,1997-06-14,9999-01-01,Engineer
56847,Chinin,Menkae,1965-01-14,1998-08-27,9999-01-01,Senior Engineer
57934,Boudaillier,Sanjoy,1965-01-25,1989-12-27,9999-01-01,Engineer
58141,Karner,Bezalel,1965-01-05,1994-09-27,9999-01-01,Staff
58147,Sullins,Shigenori,1965-01-09,1988-02-24,9999-01-01,Senior Staff
58384,Vural,Mariusz,1965-01-22,1993-11-14,9999-01-01,Engineer
58454,Zambonelli,Ziya,1965-01-25,1999-06-29,9999-01-01,Engineer
58497,Cairo,Yechiam,1965-01-22,2000-10-21,9999-01-01,Senior Staff
58819,Liesche,Gennady,1965-01-04,1987-12-02,9999-01-01,Senior Staff
58990,Trelles,Palash,1965-01-04,1998-11-18,9999-01-01,Engineer
59195,Pollock,Ronnie,1965-01-08,1990-06-19,9999-01-01,Technique Leader
59640,Hiltgen,Zita,1965-01-18,1999-01-26,9999-01-01,Staff
59869,Riefers,Zsolt,1965-02-01,1987-09-25,9999-01-01,Staff
59966,Salvesen,Steen,1965-01-28,1993-02-03,9999-01-01,Technique Leader
60000,Emmart,Heekeun,1965-01-16,1995-09-23,9999-01-01,Assistant Engineer
60091,Bade,Surveyors,1965-02-01,1990-04-11,9999-01-01,Staff
60238,Claffy,Erzsebet,1965-01-23,1999-02-19,9999-01-01,Staff
60559,Stemann,Jeanna,1965-01-19,1988-08-29,9999-01-01,Engineer
60821,Mersereau,Moty,1965-01-02,1991-09-03,9999-01-01,Senior Staff
60845,Siegrist,Bedir,1965-01-14,1997-05-13,9999-01-01,Engineer
60875,Masaki,Rildo,1965-01-21,1990-01-14,9999-01-01,Senior Engineer
60959,Sridhar,Tetsushi,1965-01-09,1989-10-19,9999-01-01,Senior Staff
61147,Werthner,Leszek,1965-01-30,1999-03-03,9999-01-01,Staff
61253,Uhrik,Cheong,1965-01-09,2002-05-09,9999-01-01,Senior Engineer
61377,Ohori,Dannz,1965-01-01,1997-04-13,9999-01-01,Senior Staff
61541,Papsdorf,Kasidit,1965-01-08,1993-08-17,9999-01-01,Senior Engineer
61873,Rusmann,Woody,1965-01-19,1993-02-26,9999-01-01,Engineer
62033,Cappelli,Heeju,1965-01-24,1987-01-15,9999-01-01,Senior Engineer
62046,Nanard,Karlis,1965-01-31,1992-09-19,9999-01-01,Engineer
62245,Bressoud,Adel,1965-01-01,1995-08-30,9999-01-01,Engineer
63294,Tanemo,Tetsushi,1965-01-23,1997-03-01,9999-01-01,Engineer
63419,Seuren,Hiroyasu,1965-01-14,1989-03-05,9999-01-01,Senior Engineer
63441,Scallan,Hinrich,1965-01-15,1999-04-04,9999-01-01,Staff
63566,Slaats,Heekeun,1965-01-31,1999-01-12,9999-01-01,Senior Staff
63631,Cherinka,Falguni,1965-01-22,1987-10-15,9999-01-01,Senior Engineer
63706,Itzigehl,Sedat,1965-01-26,1997-07-31,9999-01-01,Engineer
64023,Benzmuller,Laurentiu,1965-01-11,1999-11-08,9999-01-01,Senior Engineer
64209,Schoegge,Golgen,1965-01-24,1988-02-26,9999-01-01,Senior Staff
64487,Rebaine,Tsutomu,1965-01-27,1986-09-17,9999-01-01,Senior Engineer
64532,Segond,Atilio,1965-01-23,1990-11-29,9999-01-01,Engineer
64632,Brender,Zsolt,1965-01-07,1996-02-21,9999-01-01,Senior Staff
64790,Piveteau,Shin,1965-01-29,1985-04-19,9999-01-01,Engineer
64828,Pappas,Krister,1965-01-27,1999-09-30,9999-01-01,Staff
64984,Eldridge,Eldridge,1965-01-06,1994-08-04,9999-01-01,Engineer
65171,Tasistro,Jeane,1965-01-25,1994-07-06,9999-01-01,Technique Leader
65539,Picaronny,Aksel,1965-01-23,1991-01-27,9999-01-01,Engineer
65883,Pepe,Patricia,1965-01-07,1991-04-19,9999-01-01,Senior Staff
65998,Alameldin,Mandell,1965-01-09,1989-04-08,9999-01-01,Senior Staff
66382,Candan,Domenico,1965-01-04,1997-07-13,9999-01-01,Engineer
66530,Leaver,Dung,1965-01-29,1998-04-04,9999-01-01,Staff
66643,Tomescu,Jianhao,1965-01-18,1996-08-26,9999-01-01,Engineer
66702,Thibadeau,Deniz,1965-02-01,1994-09-27,9999-01-01,Engineer
66757,Baig,Yonghong,1965-01-16,1999-04-10,9999-01-01,Staff
66807,Rosaz,Aiman,1965-01-21,1990-05-22,9999-01-01,Engineer
67320,Lorys,Sadok,1965-01-18,1987-05-10,9999-01-01,Senior Staff
67548,Roohalamini,Fumitaka,1965-01-11,1998-06-27,9999-01-01,Staff
67934,Gargeya,Aiman,1965-01-07,1985-03-07,9999-01-01,Senior Engineer
68416,Debuse,Munenori,1965-01-27,1990-11-08,9999-01-01,Senior Engineer
68608,Seghrouchni,Yucai,1965-01-26,1989-06-09,9999-01-01,Senior Engineer
68633,Rassart,Chinhyun,1965-01-28,1993-07-29,9999-01-01,Senior Engineer
68648,DiGiano,Jaques,1965-01-25,1992-04-01,9999-01-01,Technique Leader
69052,Shrader,Shietung,1965-01-26,1995-08-05,9999-01-01,Senior Staff
69219,Redmiles,Shuky,1965-01-09,1994-11-19,9999-01-01,Senior Staff
69867,Rothe,Miyeon,1965-01-22,1991-04-09,9999-01-01,Staff
69878,Cooke,Chinya,1965-01-24,1997-01-29,9999-01-01,Engineer
69936,Unni,Lalit,1965-01-23,1999-01-31,9999-01-01,Assistant Engineer
70469,Miyakawa,Tru,1965-01-12,1990-09-03,9999-01-01,Staff
70990,Nitta,Arumugam,1965-01-22,1990-03-23,9999-01-01,Senior Engineer
71066,Basart,Domenick,1965-01-27,1996-01-05,9999-01-01,Staff
71141,Vitiello,Sajjad,1965-01-02,1992-02-17,9999-01-01,Senior Staff
71188,Schapiro,Pranjal,1965-01-02,1986-12-14,9999-01-01,Senior Staff
71243,Buchter,Kinh,1965-01-10,1986-03-29,9999-01-01,Senior Engineer
71334,Peck,Cathie,1965-01-15,2001-03-04,9999-01-01,Engineer
71685,Olano,Kristinn,1965-01-01,1989-10-03,9999-01-01,Senior Engineer
71710,Takanami,Hitomi,1965-01-31,1997-12-15,9999-01-01,Assistant Engineer
71745,Laventhal,Adil,1965-01-02,1992-05-13,9999-01-01,Engineer
72190,Waeselynck,Sajjad,1965-01-19,1999-09-13,9999-01-01,Engineer
72194,Siepmann,Feiyu,1965-01-26,1998-10-01,9999-01-01,Senior Engineer
72232,Veldwijk,Naraig,1965-01-10,1989-07-10,9999-01-01,Engineer
72640,Hutton,Honglan,1965-01-24,1993-10-04,9999-01-01,Engineer
72918,Szilard,Takahira,1965-01-22,1988-01-16,9999-01-01,Staff
73076,Feldhoffer,Froduald,1965-01-22,1993-03-16,9999-01-01,Senior Engineer
73233,Merey,Shigeo,1965-01-15,1985-07-30,9999-01-01,Senior Engineer
73516,Badache,Qingxiang,1965-01-14,1989-06-25,9999-01-01,Engineer
73743,Bernardeschi,Anneke,1965-01-15,2000-10-15,9999-01-01,Engineer
74200,Weiland,Holgard,1965-01-16,1991-09-24,9999-01-01,Senior Engineer
74344,Provine,Hiroyasu,1965-02-01,1994-11-25,9999-01-01,Engineer
74668,Bonifati,Masako,1965-01-01,1987-04-09,9999-01-01,Senior Staff
74800,Conde,Yuuichi,1965-01-25,1989-03-08,9999-01-01,Engineer
75354,Jakobus,Shuky,1965-01-11,1986-06-16,9999-01-01,Engineer
75703,Erman,Kyoichi,1965-01-08,1996-07-25,9999-01-01,Senior Engineer
76189,Hinsberger,Kolar,1965-01-02,1986-10-20,9999-01-01,Engineer
76201,Preusig,Arif,1965-01-10,1992-04-02,9999-01-01,Senior Engineer
76640,Mitsuhashi,Tristan,1965-01-02,1994-07-13,9999-01-01,Senior Engineer
77030,Garnham,Faiza,1965-01-02,1986-03-02,9999-01-01,Technique Leader
77303,Birge,Xinglin,1965-01-18,1992-03-05,9999-01-01,Staff
77647,Schaaf,Niranjan,1965-01-07,1989-11-05,9999-01-01,Technique Leader
77815,Picaronny,Ronghao,1965-01-21,1993-06-09,9999-01-01,Assistant Engineer
78106,Ratnaker,Ashish,1965-01-09,2000-01-17,9999-01-01,Senior Staff
78363,Fritzsche,Susumu,1965-01-03,1998-06-23,9999-01-01,Engineer
78469,Cappelli,Leucio,1965-01-28,1997-08-22,9999-01-01,Staff
78871,Ghandeharizadeh,Conor,1965-01-15,1985-05-25,9999-01-01,Senior Engineer
79043,Hockney,Katsuo,1965-01-24,1999-11-07,9999-01-01,Technique Leader
79171,Ellozy,Guiseppe,1965-01-19,1991-01-12,9999-01-01,Senior Engineer
79310,Cunliffe,Jeong,1965-01-24,1996-10-27,9999-01-01,Senior Staff
79606,Peir,Arnd,1965-01-03,1986-12-11,9999-01-01,Senior Engineer
79763,Barreiro,Sanjoy,1965-01-20,1988-04-09,9999-01-01,Staff
79895,Murtagh,Fei,1965-01-30,1986-01-19,9999-01-01,Senior Staff
80067,Weiland,Kazuhisa,1965-01-19,1985-11-09,9999-01-01,Senior Staff
80203,Baik,Shakhar,1965-01-22,1993-12-01,9999-01-01,Staff
80432,Figueira,Stella,1965-01-17,1990-03-14,9999-01-01,Staff
80731,Eldridge,Shaowen,1965-01-25,1987-12-05,9999-01-01,Staff
